#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         422     1.38233     1.43981  0.00297568
         423     1.38337     1.43967  0.00297163
         424     1.38497     1.43954  0.00296742
         425     1.38714     1.43942    0.002963
         426     1.38986      1.4393  0.00295833
         427     1.39313      1.4392  0.00295337
         428     1.39692      1.4391  0.00294813
         429      1.4012     1.43901  0.00294258
         430     1.40594     1.43893  0.00293674
         431     1.41109     1.43887  0.00293064
         432     1.41661     1.43882   0.0029243
         433     1.42244     1.43878   0.0029178
         434     1.42855     1.43875  0.00291117
         435     1.43486     1.43875  0.00290449
         436     1.44133     1.43875  0.00289783
         437     1.44789     1.43877  0.00289128
         438     1.45447     1.43881   0.0028849
         439     1.46103     1.43886  0.00287877
         440     1.46751     1.43892  0.00287297
         441     1.47385       1.439  0.00286754
         442     1.48001      1.4391  0.00286256
         443     1.48593      1.4392  0.00285804
         444     1.49156     1.43932  0.00285404
         445     1.49688     1.43945  0.00285056
         446     1.50184     1.43959  0.00284759
         447     1.50641     1.43974  0.00284514
         448     1.51056      1.4399  0.00284318
         449     1.51427     1.44006  0.00284167
         450     1.51752     1.44023  0.00284057
         451      1.5203     1.44041  0.00283981
         452     1.52258     1.44059  0.00283934
         453     1.52436     1.44078  0.00283909
         454     1.52565     1.44097  0.00283898
         455     1.52643     1.44115  0.00283895
         456      1.5267     1.44134  0.00283891
         457     1.52648     1.44153  0.00283881
         458     1.52577     1.44171  0.00283856
         459     1.52458     1.44189  0.00283811
         460     1.52292     1.44207   0.0028374
         461     1.52081     1.44224  0.00283639
         462     1.51827      1.4424  0.00283502
         463     1.51531     1.44256  0.00283326
         464     1.51197     1.44271   0.0028311
         465     1.50826     1.44285  0.00282852
         466     1.50422     1.44298  0.00282552
         467     1.49987      1.4431  0.00282209
         468     1.49525     1.44322  0.00281826
         469      1.4904     1.44332  0.00281404
         470     1.48534     1.44341  0.00280948
         471     1.48013     1.44348  0.00280459
         472      1.4748     1.44355  0.00279944
         473      1.4694     1.44361  0.00279405
         474     1.46396     1.44365  0.00278849
         475     1.45854     1.44368  0.00278279
         476     1.45317      1.4437  0.00277702
         477     1.44789     1.44371  0.00277121
         478     1.44273     1.44371  0.00276541
         479     1.43774     1.44369  0.00275967
         480     1.43294     1.44367  0.00275401
         481     1.42836     1.44364  0.00274847
         482     1.42401      1.4436  0.00274307
         483     1.41992     1.44355  0.00273783
         484     1.41609     1.44349  0.00273276
         485     1.41253     1.44343  0.00272787
         486     1.40924     1.44336  0.00272316
         487     1.40621     1.44328  0.00271864
         488     1.40343      1.4432   0.0027143
         489     1.40091     1.44311  0.00271012
         490     1.39863     1.44302  0.00270611
         491     1.39657     1.44293  0.00270225
         492     1.39472     1.44283  0.00269854
         493     1.39308     1.44273  0.00269495
         494     1.39164     1.44263  0.00269148
         495     1.39038     1.44252  0.00268811
         496      1.3893     1.44241  0.00268483
         497     1.38839     1.44231  0.00268163
         498     1.38767      1.4422  0.00267849
         499     1.38712     1.44209  0.00267539
         500     1.38676     1.44197  0.00267233
         501     1.38657     1.44186  0.00266928
         502     1.38658     1.44175  0.00266623
         503     1.38679     1.44164  0.00266317
         504     1.38719     1.44154  0.00266008
         505      1.3878     1.44143  0.00265694
         506     1.38862     1.44133  0.00265374
         507     1.38966     1.44122  0.00265046
         508      1.3909     1.44112  0.00264709
         509     1.39236     1.44103  0.00264362
         510     1.39403     1.44094  0.00264005
         511      1.3959     1.44085  0.00263635
         512     1.39797     1.44076  0.00263253
         513     1.40023     1.44069  0.00262858
         514     1.40267     1.44061  0.00262451
         515     1.40528     1.44054  0.00262031
         516     1.40803     1.44048  0.00261599
         517     1.41091     1.44042  0.00261156
         518     1.41391     1.44037  0.00260702
         519     1.41702     1.44033  0.00260238
         520      1.4202     1.44029  0.00259766
         521     1.42345     1.44026  0.00259288
         522     1.42675     1.44023  0.00258804
         523     1.43009     1.44021  0.00258317
         524     1.43344      1.4402  0.00257827
         525     1.43679     1.44019  0.00257336
         526     1.44013     1.44019  0.00256847
         527     1.44343      1.4402  0.00256361
         528      1.4467     1.44021  0.00255878
         529      1.4499     1.44023  0.00255401
         530     1.45303     1.44025   0.0025493
         531     1.45608     1.44028  0.00254468
         532     1.45901     1.44032  0.00254014
         533     1.46184     1.44036  0.00253569
         534     1.46452      1.4404  0.00253135
         535     1.46706     1.44045  0.00252711
         536     1.46944     1.44051  0.00252297
         537     1.47165     1.44056  0.00251894
         538     1.47366     1.44063  0.00251501
         539     1.47546     1.44069  0.00251117
         540     1.47704     1.44076  0.00250742
         541     1.47839     1.44083  0.00250375
         542     1.47949      1.4409  0.00250015
         543     1.48032     1.44097   0.0024966
         544     1.48088     1.44104  0.00249309
         545     1.48115     1.44112   0.0024896
         546     1.48112     1.44119  0.00248612
         547     1.48077     1.44126  0.00248263
         548     1.48011     1.44133  0.00247911
         549     1.47912      1.4414  0.00247555
         550      1.4778     1.44147  0.00247193
         551     1.47615     1.44153  0.00246825
         552     1.47419     1.44159  0.00246448
         553     1.47191     1.44165  0.00246064
         554     1.46933      1.4417   0.0024567
         555     1.46647     1.44174  0.00245268
         556     1.46335     1.44178  0.00244858
         557     1.46001     1.44181   0.0024444
         558     1.45646     1.44184  0.00244016
         559     1.45275     1.44186  0.00243587
         560     1.44892     1.44187  0.00243156
         561       1.445     1.44188  0.00242723
         562     1.44104     1.44188  0.00242291
         563      1.4371     1.44187  0.00241862
         564     1.43321     1.44185  0.00241438
         565     1.42942     1.44183  0.00241021
         566     1.42579      1.4418  0.00240612
         567     1.42236     1.44177  0.00240212
         568     1.41918     1.44173  0.00239822
         569     1.41629     1.44168  0.00239442
         570     1.41372     1.44163  0.00239072
         571     1.41151     1.44158  0.00238712
         572     1.40969     1.44152  0.00238359
         573     1.40829     1.44147  0.00238014
         574     1.40732     1.44141  0.00237674
         575     1.40678     1.44135  0.00237336
         576     1.40669     1.44129  0.00237001
         577     1.40704     1.44123  0.00236664
         578     1.40781     1.44117  0.00236325
         579       1.409     1.44111  0.00235983
         580     1.41057     1.44106  0.00235634
         581     1.41249     1.44101   0.0023528
         582     1.41475     1.44097  0.00234919
         583     1.41729     1.44093  0.00234551
