# DISTANCE:     AVE_GOFR:        ERROR:
     2.42389    0.930879  0.00328736
     2.44954    0.905646  0.00660873
     2.47519    0.911815  0.00389209
     2.50084    0.899505  0.00181392
     2.52649    0.898215  0.00586767
     2.55214    0.895564  0.00361368
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000892597 0.000317841
    0.910562   0.0233563  0.00148297
    0.936212    0.168549  0.00428654
    0.961861     0.58508  0.00547414
    0.987511     1.22077  0.00475684
     1.01316     1.86421  0.00856118
     1.03881      2.3448   0.0140602
     1.06446     2.57449   0.0134189
     1.09011     2.54409   0.0208046
     1.11576     2.36842  0.00760155
     1.14141     2.16923   0.0166127
     1.16706     1.93145   0.0132567
     1.19271     1.74655  0.00557795
     1.21836     1.55706  0.00664425
     1.24401     1.38279   0.0128233
     1.26966     1.23915  0.00758107
     1.29531     1.12437  0.00722559
     1.32096     1.03672  0.00917763
     1.34661    0.946953   0.0062147
     1.37226    0.860335  0.00769217
     1.39791    0.819116   0.0104414
     1.42355    0.779097  0.00624966
      1.4492     0.74388  0.00785093
     1.47485    0.710019   0.0107577
      1.5005    0.690355  0.00702867
     1.52615    0.688184  0.00393845
      1.5518    0.676697  0.00345963
     1.57745    0.679521  0.00423821
      1.6031    0.689712  0.00271735
     1.62875    0.691968  0.00552877
      1.6544    0.708579  0.00597285
     1.68005    0.736401  0.00359625
      1.7057    0.764867  0.00350503
     1.73135    0.791871  0.00444249
       1.757    0.818666   0.0064834
     1.78265    0.854154   0.0042627
      1.8083    0.895883  0.00580578
     1.83395     0.93441  0.00452355
      1.8596    0.962576  0.00569788
     1.88525    0.997318  0.00812788
      1.9109     1.05063  0.00306263
     1.93655     1.08979   0.0047412
      1.9622     1.12635  0.00342317
     1.98785     1.16189  0.00194407
      2.0135     1.19584  0.00648056
     2.03915      1.2078   0.0072209
      2.0648     1.21107  0.00468161
     2.09045     1.21092  0.00772519
      2.1161     1.20114   0.0102367
     2.14174     1.19066  0.00726807
     2.16739     1.17417  0.00988225
     2.19304     1.13981  0.00337025
     2.21869     1.10514   0.0046745
     2.24434     1.08327  0.00272069
     2.26999     1.05873   0.0050058
     2.29564     1.03356  0.00767766
     2.32129     1.00678   0.0100128
     2.34694    0.984065  0.00603584
     2.37259    0.968193  0.00933568
     2.39824    0.954121  0.00682133
     2.42389    0.936437   0.0056237
     2.44954    0.913836  0.00903391
     2.47519    0.913497  0.00345804
     2.50084    0.901132  0.00205495
     2.52649    0.898476  0.00469993
     2.55214    0.901657  0.00616912
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000973094 0.000274872
    0.910562   0.0239145  0.00133673
    0.936212    0.168965  0.00359225
    0.961861     0.58871  0.00563833
    0.987511     1.22409  0.00498555
     1.01316      1.8628  0.00724913
     1.03881     2.33905   0.0128401
     1.06446     2.57362   0.0112107
     1.09011     2.54809   0.0177167
     1.11576     2.37496  0.00870316
     1.14141     2.17062   0.0139019
     1.16706     1.93385   0.0112621
     1.19271     1.74294  0.00570183
     1.21836      1.5501  0.00842553
     1.24401     1.38299   0.0106877
     1.26966     1.23656  0.00674796
     1.29531     1.12098  0.00677019
     1.32096     1.03438  0.00794106
     1.34661    0.950348  0.00603536
     1.37226    0.863611  0.00707341
     1.39791    0.811087   0.0113768
     1.42355    0.773763  0.00712936
      1.4492    0.740815   0.0071156
     1.47485    0.712857  0.00933135
      1.5005    0.695472  0.00749192
     1.52615     0.69448  0.00661809
      1.5518    0.682498  0.00602932
     1.57745    0.681935   0.0041631
      1.6031    0.690844    0.002489
     1.62875    0.691356  0.00464114
      1.6544    0.706422  0.00535273
     1.68005    0.735279  0.00316708
      1.7057    0.762877  0.00343959
     1.73135    0.788048  0.00508763
       1.757     0.81602  0.00591823
     1.78265    0.851595   0.0042515
      1.8083    0.895554  0.00484748
     1.83395    0.935044  0.00381388
      1.8596    0.966226  0.00580041
     1.88525      1.0041  0.00917864
      1.9109     1.05107  0.00258337
     1.93655     1.09254  0.00467832
      1.9622     1.12752  0.00304369
     1.98785     1.15845  0.00352646
      2.0135     1.19264  0.00613816
     2.03915     1.20533  0.00642759
      2.0648     1.20762  0.00501401
     2.09045     1.21211  0.00652897
      2.1161     1.20167  0.00854417
     2.14174     1.19352  0.00659693
     2.16739     1.18013  0.00986871
     2.19304     1.14342  0.00433021
     2.21869     1.10806  0.00471783
     2.24434     1.08351  0.00227817
     2.26999     1.05602  0.00485227
     2.29564     1.03271  0.00644484
     2.32129     1.00558  0.00841485
     2.34694    0.981013  0.00574992
     2.37259     0.96618  0.00799382
     2.39824    0.948795  0.00748039
     2.42389    0.933328  0.00547873
     2.44954    0.916587  0.00793607
     2.47519    0.914227  0.00295773
     2.50084    0.900629  0.00177288
     2.52649    0.898672  0.00392071
     2.55214    0.899987  0.00536225
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000882117 0.000250208
    0.910562   0.0240038  0.00114875
    0.936212    0.168548  0.00310316
    0.961861    0.592131  0.00577814
    0.987511      1.2302  0.00709536
     1.01316     1.86788  0.00779333
     1.03881     2.34114   0.0111755
     1.06446     2.57296  0.00962874
     1.09011     2.55979   0.0186561
     1.11576      2.3876    0.013881
     1.14141     2.17306   0.0121275
     1.16706     1.93686   0.0100471
     1.19271      1.7381  0.00662676
     1.21836     1.54181   0.0105426
     1.24401     1.37457   0.0120285
     1.26966     1.23175   0.0072988
     1.29531     1.11346  0.00905861
     1.32096     1.02667   0.0098675
     1.34661    0.948737  0.00538384
     1.37226    0.861212  0.00645664
     1.39791    0.809583  0.00985041
     1.42355    0.772934  0.00615894
      1.4492    0.738233  0.00655071
     1.47485    0.709901  0.00845345
      1.5005    0.695339  0.00642282
     1.52615    0.693086  0.00581758
      1.5518    0.682597   0.0051688
     1.57745    0.682628   0.0036255
      1.6031     0.69262  0.00269341
     1.62875    0.694247  0.00479462
      1.6544    0.709963  0.00563878
     1.68005    0.738182  0.00382041
      1.7057    0.765723  0.00395375
     1.73135    0.787971  0.00436141
       1.757     0.81727  0.00520297
     1.78265    0.853338  0.00398578
      1.8083    0.892192  0.00519163
     1.83395    0.934488  0.00330937
      1.8596    0.967871  0.00519996
     1.88525     1.00264  0.00798333
      1.9109     1.04952  0.00263848
     1.93655     1.09304  0.00403714
      1.9622     1.12852  0.00276914
     1.98785     1.16108  0.00387693
      2.0135     1.19285  0.00526501
     2.03915      1.2066  0.00563443
      2.0648     1.21133  0.00550281
     2.09045     1.21444   0.0059957
      2.1161      1.2026  0.00737475
     2.14174     1.19592  0.00607562
     2.16739     1.18203  0.00863932
     2.19304     1.14554  0.00420089
     2.21869     1.10866  0.00408297
     2.24434     1.08431  0.00208569
