#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         318    -5.14756    -5.45925   0.0297312
         319    -5.14559    -5.45827   0.0296542
         320    -5.14439    -5.45729   0.0295778
         321    -5.14334    -5.45631   0.0295018
         322    -5.14246    -5.45533   0.0294263
         323    -5.14158    -5.45436   0.0293512
         324    -5.14132     -5.4534   0.0292765
         325    -5.14047    -5.45243   0.0292023
         326    -5.14038    -5.45148   0.0291284
         327    -5.14061    -5.45053   0.0290548
         328    -5.14085    -5.44958   0.0289816
         329     -5.1417    -5.44865   0.0289086
         330     -5.1418    -5.44772   0.0288359
         331    -5.14295    -5.44679   0.0287635
         332     -5.1435    -5.44588   0.0286914
         333    -5.14495    -5.44498   0.0286194
         334    -5.14565    -5.44408   0.0285478
         335    -5.14708    -5.44319   0.0284763
         336    -5.14851    -5.44232   0.0284051
         337    -5.15037    -5.44145    0.028334
         338    -5.15189    -5.44059   0.0282631
         339    -5.15369    -5.43975   0.0281924
         340    -5.15545    -5.43891   0.0281219
         341    -5.15747    -5.43809   0.0280515
         342    -5.15914    -5.43727   0.0279814
         343    -5.16149    -5.43647   0.0279113
         344    -5.16378    -5.43567   0.0278414
         345    -5.16658    -5.43489   0.0277717
         346    -5.16944    -5.43413    0.027702
         347    -5.17175    -5.43337   0.0276325
         348     -5.1747    -5.43263   0.0275631
         349    -5.17722     -5.4319   0.0274938
         350    -5.17945    -5.43117   0.0274247
         351     -5.1823    -5.43047   0.0273557
         352    -5.18441    -5.42977    0.027287
         353    -5.18711    -5.42908   0.0272183
         354    -5.18967     -5.4284   0.0271498
         355    -5.19266    -5.42774   0.0270815
         356    -5.19518    -5.42709   0.0270133
         357    -5.19693    -5.42644   0.0269453
         358    -5.19942    -5.42581   0.0268775
         359    -5.20263    -5.42519   0.0268098
         360    -5.20551    -5.42458   0.0267423
         361    -5.20789    -5.42397   0.0266749
         362    -5.21052    -5.42339   0.0266078
         363    -5.21263     -5.4228   0.0265408
         364     -5.2151    -5.42223    0.026474
         365    -5.21688    -5.42167   0.0264075
         366    -5.21868    -5.42112   0.0263411
         367     -5.2205    -5.42057    0.026275
         368     -5.2223    -5.42003   0.0262092
         369    -5.22421     -5.4195   0.0261435
         370    -5.22499    -5.41897   0.0260781
