#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         384     2.81061     1.92631    0.122307
         385     2.81634     1.92863    0.122012
         386     2.82303     1.93094    0.121717
         387     2.82858     1.93326    0.121425
         388     2.83429     1.93558    0.121134
         389      2.8386     1.93791    0.120845
         390     2.84356     1.94023    0.120558
         391     2.84769     1.94255    0.120272
         392     2.85071     1.94487    0.119987
         393     2.85335     1.94718    0.119704
         394     2.85492     1.94948    0.119422
         395      2.8567     1.95178    0.119142
         396     2.85805     1.95407    0.118863
         397     2.85905     1.95635    0.118586
         398     2.86028     1.95862    0.118309
         399     2.86062     1.96088    0.118035
         400     2.86087     1.96313    0.117761
         401     2.86084     1.96537    0.117489
         402     2.86177      1.9676    0.117217
         403     2.86153     1.96982    0.116948
         404     2.86059     1.97202    0.116679
         405     2.86087     1.97421    0.116411
         406     2.86139      1.9764    0.116145
         407     2.86139     1.97857     0.11588
         408     2.86253     1.98074    0.115616
         409      2.8619      1.9829    0.115354
         410     2.86165     1.98504    0.115092
         411     2.86177     1.98717    0.114832
         412     2.86179     1.98929    0.114573
         413     2.86221     1.99141    0.114315
         414     2.86187     1.99351    0.114058
         415     2.86202      1.9956    0.113803
         416     2.86154     1.99769    0.113548
         417     2.86124     1.99976    0.113295
         418     2.86121     2.00182    0.113042
         419     2.86132     2.00387    0.112791
         420     2.86314     2.00591    0.112541
         421     2.86413     2.00795    0.112292
         422     2.86635     2.00999    0.112045
         423      2.8711     2.01202    0.111798
         424     2.87562     2.01406    0.111553
         425     2.88122      2.0161    0.111309
         426     2.88727     2.01814    0.111067
         427     2.89433      2.0202    0.110826
         428      2.9032     2.02226    0.110586
         429     2.91417     2.02434    0.110348
         430     2.92631     2.02644    0.110111
         431     2.93892     2.02855    0.109876
         432      2.9544      2.0307    0.109642
         433     2.97056     2.03287    0.109411
         434     2.98833     2.03507    0.109181
         435     3.00693      2.0373    0.108953
         436     3.02724     2.03957    0.108726
         437     3.04845     2.04188    0.108502
         438     3.07068     2.04423     0.10828
         439     3.09307     2.04662     0.10806
         440     3.11646     2.04905    0.107841
         441     3.14093     2.05153    0.107625
         442     3.16631     2.05405    0.107411
         443     3.19076     2.05662    0.107199
         444     3.21697     2.05923     0.10699
         445     3.24285     2.06189    0.106782
         446       3.267     2.06459    0.106577
         447     3.29094     2.06733    0.106374
         448     3.31449     2.07012    0.106173
         449     3.33698     2.07294    0.105974
         450     3.35923      2.0758    0.105777
         451     3.38012     2.07869    0.105582
         452     3.39974     2.08161    0.105389
         453     3.41845     2.08456    0.105198
         454     3.43469     2.08754    0.105008
         455     3.44958     2.09053     0.10482
         456     3.46281     2.09354    0.104633
         457     3.47529     2.09656    0.104448
         458     3.48579      2.0996    0.104264
         459     3.49405     2.10264    0.104081
         460     3.50107     2.10568    0.103899
         461     3.50616     2.10871    0.103718
         462     3.50962     2.11175    0.103538
         463     3.51177     2.11477    0.103358
         464     3.51175     2.11778    0.103179
         465     3.51064     2.12078    0.103001
         466     3.50808     2.12375    0.102823
         467     3.50422     2.12671    0.102645
         468     3.50015     2.12964    0.102468
         469     3.49507     2.13255    0.102291
         470     3.49008     2.13544    0.102114
         471     3.48365     2.13831    0.101937
         472     3.47711     2.14114    0.101761
         473     3.46988     2.14395    0.101584
         474      3.4628     2.14673    0.101408
         475     3.45669     2.14949    0.101232
         476     3.45093     2.15223    0.101056
         477     3.44389     2.15493    0.100881
         478     3.43636     2.15761    0.100705
         479     3.43075     2.16027     0.10053
         480     3.42588     2.16291    0.100355
         481     3.42028     2.16552    0.100181
         482     3.41465     2.16811    0.100006
         483     3.40892     2.17068   0.0998324
         484     3.40423     2.17323   0.0996586
         485      3.3993     2.17576   0.0994852
         486     3.39428     2.17827   0.0993121
         487     3.38908     2.18075   0.0991393
         488      3.3829     2.18322   0.0989667
         489     3.37661     2.18566   0.0987944
         490     3.36991     2.18807   0.0986224
         491     3.36227     2.19047   0.0984505
         492     3.35389     2.19283   0.0982788
         493     3.34598     2.19517   0.0981073
         494     3.33807     2.19748    0.097936
         495     3.32994     2.19977   0.0977648
         496     3.32044     2.20203   0.0975938
         497     3.31014     2.20426   0.0974229
         498      3.3008     2.20646   0.0972522
         499     3.29107     2.20864   0.0970816
         500     3.28131     2.21078   0.0969111
         501     3.27113      2.2129   0.0967408
         502      3.2616     2.21499   0.0965706
         503     3.25258     2.21705   0.0964007
         504     3.24392     2.21909   0.0962309
         505     3.23475      2.2211   0.0960614
         506     3.22635     2.22308   0.0958921
         507     3.21879     2.22505    0.095723
         508     3.21211     2.22699   0.0955543
         509     3.20563     2.22891   0.0953859
         510     3.20033     2.23082   0.0952179
         511      3.1948      2.2327   0.0950503
         512     3.19143     2.23458   0.0948831
         513     3.18782     2.23644   0.0947163
         514     3.18514     2.23828     0.09455
         515      3.1824     2.24011   0.0943842
         516     3.18125     2.24194   0.0942189
         517     3.18019     2.24375   0.0940541
         518     3.17938     2.24556   0.0938899
         519     3.17926     2.24736   0.0937262
         520     3.17948     2.24915   0.0935631
         521     3.17998     2.25094   0.0934006
         522     3.18161     2.25272   0.0932387
         523     3.18332      2.2545   0.0930774
         524     3.18477     2.25628   0.0929167
         525     3.18538     2.25805   0.0927566
         526     3.18601     2.25981    0.092597
         527      3.1868     2.26157    0.092438
         528     3.18693     2.26332   0.0922795
         529     3.18633     2.26507   0.0921216
         530     3.18516      2.2668   0.0919641
         531     3.18286     2.26853   0.0918071
         532     3.18059     2.27024   0.0916506
         533     3.17686     2.27194   0.0914944
         534     3.17235     2.27363   0.0913386
         535     3.16804      2.2753   0.0911832
         536      3.1632     2.27696   0.0910281
         537     3.15617     2.27859   0.0908733
         538     3.14891     2.28021   0.0907188
         539     3.14123     2.28181   0.0905645
         540     3.13295     2.28339   0.0904105
         541     3.12391     2.28494   0.0902568
         542     3.11418     2.28647   0.0901032
         543      3.1041     2.28797   0.0899499
         544     3.09495     2.28946   0.0897967
         545     3.08561     2.29092   0.0896439
         546     3.07448     2.29235   0.0894912
         547     3.06477     2.29377   0.0893387
         548     3.05413     2.29515   0.0891864
         549     3.04382     2.29652   0.0890344
         550     3.03314     2.29786   0.0888826
         551     3.02261     2.29917    0.088731
         552     3.01343     2.30047   0.0885797
         553     3.00462     2.30174   0.0884287
         554     2.99496     2.30299   0.0882779
         555      2.9856     2.30422   0.0881274
         556     2.97576     2.30543   0.0879772
         557     2.96633     2.30661   0.0878273
         558     2.95651     2.30778   0.0876776
         559     2.94645     2.30892   0.0875282
         560     2.93559     2.31004    0.087379
         561     2.92552     2.31114   0.0872302
         562       2.914     2.31221   0.0870815
         563     2.90287     2.31326   0.0869332
         564     2.89089     2.31428   0.0867851
         565      2.8775     2.31528   0.0866372
         566     2.86365     2.31625   0.0864896
         567     2.85028     2.31719   0.0863421
         568     2.83427      2.3181   0.0861949
         569     2.81855     2.31898   0.0860479
         570     2.80266     2.31983   0.0859012
         571     2.78595     2.32065   0.0857546
         572     2.76875     2.32143   0.0856083
         573     2.75041     2.32218   0.0854621
         574     2.73201     2.32289   0.0853162
         575     2.71412     2.32357   0.0851706
         576     2.69446     2.32422   0.0850251
         577     2.67578     2.32483     0.08488
         578     2.65723      2.3254    0.084735
         579     2.63845     2.32594   0.0845904
         580     2.62026     2.32645   0.0844461
         581     2.60227     2.32692   0.0843021
         582     2.58602     2.32737   0.0841584
         583     2.57014     2.32779   0.0840151
         584     2.55471     2.32817   0.0838721
         585     2.54074     2.32854   0.0837295
         586     2.52733     2.32888   0.0835874
         587     2.51453     2.32919   0.0834456
         588     2.50117     2.32949   0.0833042
         589     2.49041     2.32976   0.0831632
         590     2.48036     2.33001   0.0830226
