#VELOCITY:     AVE_POFV:     PROGR_AVE_POFV:        ERROR:
     5.37401           0 1.42196e-06 0.000147985
     5.56257           0 1.71958e-06 0.000178959
   0.0942809 0.000260883 0.000264389  0.00312809
    0.282843   0.0262019   0.0235638    0.481288
    0.471405   0.0670356   0.0485809    0.646595
    0.659966    0.102705   0.0779545     0.90278
    0.848528    0.140966    0.101041     1.15572
     1.03709     0.14422    0.110525     1.22683
     1.22565    0.145575    0.113247     1.25203
     1.41421    0.114904    0.102151     1.13254
     1.60278   0.0891815   0.0844294    0.962397
     1.79134   0.0669463   0.0665706    0.793947
      1.9799   0.0417806    0.047728    0.621451
     2.16846   0.0262995   0.0329627    0.453977
     2.35702   0.0148509   0.0201556    0.292101
     2.54558  0.00811296   0.0116848    0.179506
     2.73415  0.00418704  0.00689272    0.120085
     2.92271  0.00173519   0.0040775    0.105569
     3.11127 0.000887037  0.00219136   0.0504656
     3.29983 0.000343056  0.00130068   0.0390673
     3.48839 5.32407e-05 0.000646358   0.0215042
     3.67696     7.5e-05 0.000234074  0.00839242
     3.86552           0 0.000242901   0.0190644
     4.05408           0 0.000243148   0.0234629
     4.24264           0  6.1821e-05  0.00614984
      4.4312           0 2.48148e-05  0.00258913
     4.61976           0 7.62346e-06 0.000795416
     4.80833           0 2.87037e-06 0.000299488
     4.99689           0  2.9321e-06 0.000305929
     5.18545           0 2.83951e-06 0.000296268
     5.37401           0 1.32716e-06 0.000138473
     5.56257           0 1.60494e-06 0.000167456
   0.0942809 0.000269973 0.000264738  0.00293281
    0.282843   0.0256273   0.0236927    0.451409
    0.471405   0.0676264   0.0497712    0.618831
    0.659966    0.105312   0.0796643    0.865036
    0.848528    0.126861    0.102654     1.09655
     1.03709    0.142738    0.112538     1.16926
     1.22565    0.136194    0.114682     1.18332
     1.41421    0.119548    0.103238     1.06783
     1.60278   0.0956194   0.0851288    0.905207
     1.79134   0.0688699   0.0667143    0.744477
      1.9799   0.0441542   0.0475047    0.583078
     2.16846   0.0293894   0.0327393    0.426244
     2.35702   0.0169866   0.0199575    0.274627
     2.54558  0.00898194   0.0115158    0.169211
     2.73415  0.00484537  0.00676476    0.113372
     2.92271   0.0021463   0.0039568   0.0997721
     3.11127 0.000868981  0.00210871   0.0480944
     3.29983 0.000446759  0.00124731   0.0370484
     3.48839 0.000180093 0.000617216   0.0203892
     3.67696 3.05556e-05 0.000221354  0.00797953
     3.86552           0  0.00022772   0.0179433
     4.05408           0 0.000227951   0.0220538
     4.24264           0 5.79572e-05  0.00577962
      4.4312           0 2.32639e-05  0.00243272
     4.61976           0 7.14699e-06 0.000747365
     4.80833           0 2.69097e-06 0.000281396
     4.99689           0 2.74884e-06 0.000287448
     5.18545           0 2.66204e-06 0.000278371
     5.37401           0 1.24421e-06 0.000130108
