#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         646    -2.44055    -2.53105  0.00792222
         647    -2.39687    -2.53084  0.00791269
         648    -2.41928    -2.53067  0.00790235
         649    -2.42406    -2.53051  0.00789188
         650    -2.43383    -2.53036  0.00788114
         651    -2.44178    -2.53022  0.00787021
         652    -2.43382    -2.53007  0.00785953
         653    -2.41971    -2.52991  0.00784931
         654    -2.43777    -2.52976  0.00783857
         655    -2.47857    -2.52969  0.00782699
         656    -2.44187    -2.52955   0.0078162
         657    -2.52427    -2.52954  0.00780431
         658    -2.55725    -2.52959  0.00779257
         659    -2.55438    -2.52962  0.00778083
         660    -2.53477    -2.52963  0.00776905
         661    -2.55925    -2.52968  0.00775742
         662    -2.57632    -2.52975  0.00774602
         663    -2.61828    -2.52988  0.00773549
         664    -2.59549    -2.52998  0.00772447
         665    -2.54791    -2.53001   0.0077129
