x y z
4.47529 0.055071 -9.60709
4.7184 -2.38282 -6.02267
4.7184 -2.38282 -6.02267
4.38421 -3.48806 -6.59909
4.38421 -3.48806 -6.59909
4.38421 -3.48806 -6.59909
0.591422 -3.41406 -6.61679
2.41169 -2.11936 -4.59933
2.41169 -2.11936 -4.59933
2.41169 -2.11936 -4.59933
2.41169 -2.11936 -4.59933
2.15154 -1.97721 -6.27098
4.8192 -1.00964 -6.51318
5.05936 -1.54641 -7.791
5.05936 -1.54641 -7.791
5.05936 -1.54641 -7.791
6.87397 0.495668 -9.46383
4.00147 0.693899 -10.6407
2.96401 -0.804344 -11.1786
5.25649 1.95868 -9.82954
5.25649 1.95868 -9.82954
7.07141 3.14194 -9.11976
8.75585 1.41861 -5.468
9.32236 2.19001 -5.63899
9.8716 2.03747 -4.2443
7.04322 4.62316 -7.97713
7.23331 5.61421 -5.62941
6.14128 7.00247 -3.56053
6.19096 5.34926 -1.95943
6.19096 5.34926 -1.95943
5.84732 6.42965 -4.35436
5.84732 6.42965 -4.35436
5.84732 6.42965 -4.35436
5.69341 6.49483 -4.3586
5.99426 6.19834 -4.79757
5.95357 4.03174 -6.52086
4.99938 4.75273 -5.91474
2.01874 6.48487 -3.76167
1.40454 3.94614 -2.96449
1.40454 3.94614 -2.96449
1.40454 3.94614 -2.96449
0.171303 2.45003 0.8523
0.381364 1.86294 -1.32983
0.0281655 -0.161318 -1.26695
0.0281655 -0.161318 -1.26695
0.0281655 -0.161318 -1.26695
0.0281655 -0.161318 -1.26695
0.425525 1.86728 -2.03814
-2.09412 0.797721 -2.17864
-1.02483 3.44948 -2.62472
-0.733044 -0.150032 -1.99504
-0.25171 1.34244 -0.658954
-0.197235 0.520828 -1.37956
-0.197235 0.520828 -1.37956
-0.764607 4.16534 -3.3281
-2.12894 1.24993 -5.28946
-2.12894 1.24993 -5.28946
-3.00156 1.66528 -2.70166
-1.50273 -0.772734 -1.68735
-0.755191 2.44058 -2.07699
-0.755191 2.44058 -2.07699
-0.580126 1.0304 -2.66857
-0.580126 1.0304 -2.66857
1.16863 -2.61791 -5.01115
1.16863 -2.61791 -5.01115
1.16863 -2.61791 -5.01115
1.16863 -2.61791 -5.01115
1.16863 -2.61791 -5.01115
1.16863 -2.61791 -5.01115
1.64984 -2.28034 -4.04275
-0.273522 0.128997 -5.92686
-0.273522 0.128997 -5.92686
-0.572074 -1.09824 -4.28173
1.89799 -0.41712 -3.28838
1.75577 -0.541615 -1.64827
1.75577 -0.541615 -1.64827
1.75577 -0.541615 -1.64827
1.5321 0.310783 -3.59424
1.5321 0.310783 -3.59424
1.5321 0.310783 -3.59424
2.39621 2.32013 1.84006
1.09637 -0.336233 3.61855
1.09637 -0.336233 3.61855
1.09637 -0.336233 3.61855
0.189593 -0.0657255 4.52341
0.189593 -0.0657255 4.52341
0.189593 -0.0657255 4.52341
0.330389 -1.16453 3.72357
-0.850379 0.206911 2.97931
-0.850379 0.206911 2.97931
3.94155 2.5551 6.51943
3.94155 2.5551 6.51943
2.00187 -5.12766e-05 6.363
2.00187 -5.12766e-05 6.363
2.00187 -5.12766e-05 6.363
2.00187 -5.12766e-05 6.363
2.00187 -5.12766e-05 6.363
2.00187 -5.12766e-05 6.363
0.313822 2.20528 5.7113
-0.401519 1.72513 5.70589
-1.85623 3.67653 8.08901
-3.09439 2.19866 8.66099
-2.70977 1.92867 9.482
-3.70186 2.19911 8.4238
-2.64093 2.59421 5.15975
-1.13153 2.61186 3.85421
-1.13153 2.61186 3.85421
-1.72082 2.78756 4.48468
-1.72082 2.78756 4.48468
1.66099 2.41398 4.9869
-0.177773 -0.735134 5.48009
-0.177773 -0.735134 5.48009
-0.177773 -0.735134 5.48009
0.165342 0.72271 4.91659
0.165342 0.72271 4.91659
2.06649 -0.185925 4.57829
0.470337 -0.058561 4.33943
0.470337 -0.058561 4.33943
-0.469862 -1.96445 2.06022
-1.35608 -1.7138 0.712652
-1.35608 -1.7138 0.712652
-0.415251 -3.07436 1.37033
-0.415251 -3.07436 1.37033
-0.415251 -3.07436 1.37033
0.510426 -1.93161 1.78385
0.510426 -1.93161 1.78385
0.510426 -1.93161 1.78385
-0.438226 -0.0553816 -0.720465
-1.74623 1.45105 -2.37554
0.69818 1.9099 -2.17693
0.69818 1.9099 -2.17693
0.69818 1.9099 -2.17693
0.69818 1.9099 -2.17693
1.34718 0.723481 -5.56783
-0.460696 3.21656 -4.98655
0.409523 2.60684 -6.41682
-1.31596 3.47472 -5.14421
-3.91037 2.07912 -4.20686
-4.5018 3.97407 -0.773907
-3.17635 3.67881 0.416565
-3.17635 3.67881 0.416565
-1.35957 1.13567 1.6382
-1.35957 1.13567 1.6382
-1.35957 1.13567 1.6382
1.43953 0.25164 -2.28992
1.43953 0.25164 -2.28992
1.43953 0.25164 -2.28992
1.54131 -1.15134 -2.29469
1.44265 -1.50086 -3.43774
0.429654 -0.592185 -4.11781
0.429654 -0.592185 -4.11781
0.429654 -0.592185 -4.11781
-0.487067 -1.08727 -1.19571
-0.835338 -0.145903 -3.70518
0.750737 0.679916 -1.75965
1.95971 3.35637 -2.61874
0.0792351 4.06766 -4.39247
0.0792351 4.06766 -4.39247
0.0792351 4.06766 -4.39247
0.0792351 4.06766 -4.39247
-0.173837 2.08778 -6.80207
-0.363534 1.8678 -5.35471
1.1537 -0.156859 -3.1432
1.1537 -0.156859 -3.1432
1.1537 -0.156859 -3.1432
-1.73646 -1.18554 -5.0877
-1.73646 -1.18554 -5.0877
-0.611508 -0.0770269 -2.62268
-0.611508 -0.0770269 -2.62268
-0.611508 -0.0770269 -2.62268
-0.611508 -0.0770269 -2.62268
-0.611508 -0.0770269 -2.62268
-0.241112 -0.040755 -2.05066
-0.241112 -0.040755 -2.05066
-1.21842 0.554689 -1.73464
-1.21842 0.554689 -1.73464
-1.21842 0.554689 -1.73464
-1.21842 0.554689 -1.73464
-1.21842 0.554689 -1.73464
2.15316 0.0201176 2.75226
2.15316 0.0201176 2.75226
1.55145 -0.796294 3.52264
1.55145 -0.796294 3.52264
1.06696 -0.382432 1.95828
1.06696 -0.382432 1.95828
0.635857 -1.58454 1.60198
0.635857 -1.58454 1.60198
0.635857 -1.58454 1.60198
0.825217 -1.76245 3.39928
0.825217 -1.76245 3.39928
1.32154 -3.97303 5.44497
1.32154 -3.97303 5.44497
3.27507 -3.3366 1.1583
5.60499 -2.24027 4.78072
5.60499 -2.24027 4.78072
5.60499 -2.24027 4.78072
3.9398 -3.34607 7.51193
3.9398 -3.34607 7.51193
3.9398 -3.34607 7.51193
5.48343 -5.1578 8.79984
4.40032 -3.0711 10.5895
4.47383 -1.19203 10.4797
5.09588 -3.54569 10.9201
3.37714 -4.34104 9.68354
3.37714 -4.34104 9.68354
3.37714 -4.34104 9.68354
3.23871 -4.66625 9.50731
3.23871 -4.66625 9.50731
5.91718 -1.53924 8.02397
7.17932 -1.50217 4.13696
2.91448 -2.35454 7.31728
2.91448 -2.35454 7.31728
4.23032 -1.33588 7.90497
4.23032 -1.33588 7.90497
2.20268 -0.10915 6.84809
1.67816 -2.42035 5.96336
2.15359 -2.35454 7.13845
2.15359 -2.35454 7.13845
1.57795 -3.88368 6.05771
1.69238 -3.13709 6.29499
0.767939 -1.72709 5.12243
0.985069 -5.16993 3.34654
0.985069 -5.16993 3.34654
0.75035 -7.41924 3.98965
0.75035 -7.41924 3.98965
0.75035 -7.41924 3.98965
1.96997 -8.75186 6.23244
1.96997 -8.75186 6.23244
1.96997 -8.75186 6.23244
1.02654 -8.9051 7.11449
0.555394 -11.1465 10.8316
0.555394 -11.1465 10.8316
0.825064 -11.1801 11.234
0.825064 -11.1801 11.234
-0.0783943 -12.1053 10.2034
-0.0783943 -12.1053 10.2034
1.26093 -12.6479 9.18769
-1.69965 -10.6098 8.79102
-2.28613 -8.52883 8.96557
-3.98462 -9.66289 8.1515
-3.98462 -9.66289 8.1515
-3.2042 -12.0914 7.15582
-3.2042 -12.0914 7.15582
-0.973243 -9.59637 10.5085
-0.973243 -9.59637 10.5085
-0.973243 -9.59637 10.5085
-0.260255 -7.38682 9.59263
-0.260255 -7.38682 9.59263
-0.805162 -5.94604 9.56314
-0.805162 -5.94604 9.56314
0.667097 -5.58145 9.78256
0.667097 -5.58145 9.78256
0.667097 -5.58145 9.78256
1.82415 -8.49528 9.90895
2.36727 -8.90547 6.14551
5.8506 -7.23117 4.54313
5.8506 -7.23117 4.54313
2.6613 -5.55712 4.04774
2.6613 -5.55712 4.04774
3.21059 -3.57913 5.24037
3.21059 -3.57913 5.24037
3.21059 -3.57913 5.24037
3.21059 -3.57913 5.24037
3.43831 -2.77924 6.80511
3.43831 -2.77924 6.80511
4.19248 -0.219192 7.59266
1.98566 -1.31191 8.9401
1.81027 -2.42164 10.8783
-0.305383 -2.30918 10.1149
3.66999 -0.45061 8.24264
3.66999 -0.45061 8.24264
3.29149 0.546885 8.84772
2.02271 -0.176233 8.72859
2.02271 -0.176233 8.72859
0.0224541 0.758167 8.00869
0.415385 0.0762651 7.68002
2.15811 -0.205845 7.42689
3.25919 0.510977 6.38418
3.48289 -1.39535 7.25738
3.48289 -1.39535 7.25738
4.68759 -0.941805 5.29722
4.95195 -0.403752 5.92861
4.95195 -0.403752 5.92861
4.56402 -4.13429 5.07413
2.90953 -2.21535 3.28473
0.223506 -2.24674 4.29923
0.223506 -2.24674 4.29923
0.223506 -2.24674 4.29923
0.223506 -2.24674 4.29923
0.259894 -1.02784 4.31453
0.259894 -1.02784 4.31453
-0.00357776 -1.56581 3.53624
-0.00357776 -1.56581 3.53624
-0.00357776 -1.56581 3.53624
-0.00357776 -1.56581 3.53624
-0.00357776 -1.56581 3.53624
-0.00357776 -1.56581 3.53624
-0.00357776 -1.56581 3.53624
-0.00357776 -1.56581 3.53624
-0.00357776 -1.56581 3.53624
-0.739681 -1.48705 4.42807
-0.739681 -1.48705 4.42807
-0.258957 -0.480174 3.63033
-0.258957 -0.480174 3.63033
-1.20084 0.684417 2.24807
-0.192417 0.102679 0.647605
-0.0102538 -1.04974 2.92601
-0.0102538 -1.04974 2.92601
0.776234 3.09652 1.81848
2.26929 4.9739 0.858934
2.26929 4.9739 0.858934
3.43835 3.69676 2.38074
4.86062 0.0500668 5.05545
4.86062 0.0500668 5.05545
5.26417 1.28578 4.00319
5.26417 1.28578 4.00319
5.26417 1.28578 4.00319
4.1005 2.34492 5.47333
4.1005 2.34492 5.47333
5.32478 1.50982 3.45661
6.51122 0.701778 5.51583
6.51122 0.701778 5.51583
6.51122 0.701778 5.51583
6.51122 0.701778 5.51583
5.99822 -1.60705 4.21437
5.51655 -1.71178 4.17958
5.51655 -1.71178 4.17958
4.03942 -2.60979 4.43509
1.36692 -4.50835 4.9959
1.52811 -6.29338 4.90674
-1.20564 -3.02745 5.86059
-2.30674 -4.54518 6.91367
1.53024 -4.51454 6.82244
-2.25335 -1.52324 6.05142
-2.25335 -1.52324 6.05142
-2.25335 -1.52324 6.05142
-2.25335 -1.52324 6.05142
0.4946 -3.70291 5.31183
0.4946 -3.70291 5.31183
0.885461 -1.47547 6.18557
3.5621 -0.0613256 5.69033
4.45715 -0.0168454 5.80624
4.45715 -0.0168454 5.80624
4.91251 2.39449 6.00659
4.50061 -0.40404 4.06095
4.50061 -0.40404 4.06095
4.92477 1.49965 4.69712
1.26194 0.662179 6.3048
1.26194 0.662179 6.3048
1.30407 -2.63462 4.6644
1.30407 -2.63462 4.6644
-1.07048 -2.29655 5.87914
-1.23783 -1.28542 3.5759
-0.032934 0.317875 4.04843
0.34262 0.512301 3.13914
1.32172 1.37312 5.92657
0.9874 3.94403 4.15963
0.9874 3.94403 4.15963
0.654785 4.65149 6.74328
0.654785 4.65149 6.74328
-0.599706 6.4427 8.2175
-0.599706 6.4427 8.2175
-0.269473 6.30946 6.89785
-1.0203 5.54977 3.85232
-1.0203 5.54977 3.85232
-1.0203 5.54977 3.85232
-2.46188 4.61933 3.4812
-4.85121 3.93638 3.12076
-3.58636 0.744552 1.01164
-3.97677 -0.571521 3.30055
-5.04157 0.428531 5.19704
-5.3305 -1.79517 4.54441
-5.3305 -1.79517 4.54441
-5.3305 -1.79517 4.54441
-5.71352 -1.35451 5.26357
-4.53212 -3.01791 4.19373
-4.53212 -3.01791 4.19373
-4.53212 -3.01791 4.19373
-4.07396 -3.52001 3.94237
-4.07396 -3.52001 3.94237
-4.07396 -3.52001 3.94237
-3.32799 -1.61368 2.82476
-3.32799 -1.61368 2.82476
-1.36484 -1.96341 3.99992
