#VELOCITY:     AVE_POFV:     PROGR_AVE_POVF:        ERROR:
     3.11127   0.0487167   0.0514303   0.0920131
     3.29983   0.0374926   0.0431266    0.142262
     3.48839   0.0351444   0.0369691     0.20619
     3.67696   0.0375519   0.0304237    0.145128
     3.86552   0.0353213   0.0235861    0.173642
     4.05408   0.0187454   0.0188238    0.119314
     4.24264   0.0102926   0.0147087    0.107549
      4.4312  0.00914167   0.0110741   0.0858171
     4.61976  0.00948241   0.0075927    0.064928
     4.80833  0.00618056  0.00529825   0.0514653
     4.99689  0.00581667   0.0033678   0.0587341
     5.18545  0.00133056  0.00194136   0.0350703
     5.37401 0.000362037  0.00128951   0.0400838
     5.56257 5.37037e-05  0.00077644   0.0165386
   0.0942809  0.00101806  0.00101445 0.000176624
    0.282843   0.0040787  0.00415463   0.0843026
    0.471405    0.010138   0.0102272    0.110486
    0.659966   0.0235269    0.020791    0.161301
    0.848528   0.0344898   0.0284442    0.184307
     1.03709   0.0353787   0.0411042    0.204348
     1.22565   0.0460194   0.0497033    0.166712
     1.41421   0.0589648    0.056768    0.168291
     1.60278   0.0760963   0.0647181    0.230533
     1.79134   0.0688019   0.0702172    0.184717
      1.9799   0.0763574   0.0755446    0.195125
     2.16846   0.0700065   0.0714882    0.297231
     2.35702   0.0661713   0.0674629    0.222379
     2.54558   0.0644852    0.067981    0.331842
     2.73415   0.0638694   0.0636278    0.141027
     2.92271   0.0564157   0.0557423     0.17419
     3.11127    0.051788   0.0514661   0.0828928
     3.29983   0.0429259   0.0431066    0.128053
     3.48839   0.0277796   0.0360502    0.208091
     3.67696   0.0258861   0.0299699    0.138642
     3.86552   0.0199426   0.0232218    0.160675
     4.05408    0.020413   0.0189827     0.10861
     4.24264   0.0166759   0.0149055   0.0988699
      4.4312   0.0109898   0.0110656   0.0772402
     4.61976  0.00799722  0.00763315    0.058582
     4.80833  0.00577593  0.00534602   0.0465767
     4.99689  0.00338796  0.00336981   0.0528611
     5.18545  0.00285278   0.0020325   0.0329157
     5.37401 0.000901852  0.00125074   0.0362934
     5.56257  0.00202778 0.000901574   0.0196452
