#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         432    0.188194   0.0318251   0.0441483
         433   0.0314904   0.0318243   0.0440463
         434   -0.137321   0.0314346   0.0439465
         435    0.215103   0.0318568   0.0438475
         436    0.313857   0.0325036   0.0437517
         437    0.444648   0.0334467   0.0436618
         438    0.547866   0.0346212   0.0435779
         439     0.66156   0.0360493    0.043502
         440    0.506609   0.0371187   0.0434163
         441    0.685085   0.0385881   0.0433427
         442    0.626368   0.0399179    0.043265
         443    0.468097   0.0408844   0.0431782
         444   -0.145183   0.0404653    0.043083
         445    0.509264   0.0415188    0.042999
         446    0.290688   0.0420775   0.0429062
         447    0.749168   0.0436594   0.0428394
         448    0.677217   0.0450735   0.0427671
         449    0.411354   0.0458893   0.0426796
         450    0.617191   0.0471589   0.0426037
         451    0.759465   0.0487383   0.0425385
         452    0.829833   0.0504664   0.0424795
         453    0.670733   0.0518356   0.0424077
         454    0.773993   0.0534263   0.0423442
         455    0.596223   0.0546192   0.0422679
         456    0.356306   0.0552808   0.0421804
         457    0.520011   0.0562977   0.0421003
         458    0.541298   0.0573567   0.0420217
         459    0.475987   0.0582687   0.0419401
         460    0.352772   0.0589089   0.0418538
         461     0.20073   0.0592166   0.0417641
         462  -0.0703376   0.0589362   0.0416747
         463    0.245751   0.0593397   0.0415866
         464    0.221854   0.0596899   0.0414985
         465    0.187574   0.0599649   0.0414101
         466    0.184169   0.0602315   0.0413221
         467    0.672502   0.0615425   0.0412544
         468    0.248918   0.0619429   0.0411682
         469    0.370396   0.0626006   0.0410857
         470    0.105113    0.062691   0.0409984
         471    0.392715   0.0633917   0.0409173
         472    0.479785   0.0642739   0.0408401
         473    0.490085   0.0651741   0.0407637
         474     0.71046   0.0665355   0.0407004
         475    0.406886    0.067252   0.0406211
         476    0.688233   0.0685566   0.0405567
         477    0.959443   0.0704243   0.0405146
         478    0.620053   0.0715742   0.0404462
         479    0.528135   0.0725273    0.040373
         480    0.259693   0.0729172   0.0402907
         481    0.237352   0.0732591   0.0402084
         482    0.275438   0.0736786   0.0401272
